127.0.0.1, 2018-04-16 15:22:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000263
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/default/edit/examples/models/menu.py, HTTP/1.1, 200, 0.025377
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000679
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000439
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.000329
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000292
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000440
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000299
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000388
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000772
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.001113
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000452
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.003597
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000604
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.001365
127.0.0.1, 2018-04-16 15:23:20, GET, /admin/static/_2.16.1/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000403
